Date,state,precipitation (inch)
201211,AK,1.98
201212,AK,2.46
201301,AK,3.51
201302,AK,2.84
201303,AK,1.74
201304,AK,1.89
201305,AK,2.39
201306,AK,1.76
201307,AK,3.12
201308,AK,4.54
201309,AK,5.42
201310,AK,6.43
201311,AK,4.06
201312,AK,3.11
201401,AK,4.34
201402,AK,1.04
201403,AK,1.53
201404,AK,1.42
201405,AK,1.79
201406,AK,3.81
201407,AK,4.59
201408,AK,4.85
201409,AK,4.82
201410,AK,3.2
201411,AK,2.52
201412,AK,2.84
201501,AK,3.17
201502,AK,1.84
201503,AK,2.26
201504,AK,2.73
201505,AK,1.82
201506,AK,2.07
201507,AK,3.92
201508,AK,4.88
201509,AK,6.21
201510,AK,4.16
201511,AK,5.39
201512,AK,1.65
201601,AK,2.71
201602,AK,2.48
201603,AK,2.25
201604,AK,2.3
201605,AK,2.68
201606,AK,2.68
201607,AK,4.18
201608,AK,5.2
201609,AK,5.89
201610,AK,1.7
201611,AK,2.9
201612,AK,2.1
201701,AK,2.9
201702,AK,2.34
201703,AK,1.19
201704,AK,0.9
201705,AK,2.76
201706,AK,2.09
201707,AK,3.42
201708,AK,6.02
201709,AK,5.32
201710,AK,5.23
201711,AK,2.34
201712,AK,3.55
201801,AK,2.44
201802,AK,2.08
201803,AK,2.03
201804,AK,2.08
201805,AK,2.98
201806,AK,3.01
201807,AK,2.77
201808,AK,6.53
201809,AK,2.57
201810,AK,4.92
201811,AK,3.57
201812,AK,2.92
201901,AK,2.5
201902,AK,2.2
201903,AK,2.53
201904,AK,1.92
201905,AK,2.37
201906,AK,1.81
201907,AK,2.89
201908,AK,3.37
201909,AK,5.45
201910,AK,4.82
201911,AK,5.1
201912,AK,3.04
202001,AK,1.89
202002,AK,3.01
202003,AK,2.28
202004,AK,2.73
202005,AK,1.49
202006,AK,3.18
202007,AK,3.39
202008,AK,4.39
202009,AK,4.07
202010,AK,3.39
202011,AK,3.99
202012,AK,4.13
202101,AK,3.14
202102,AK,1.93
202103,AK,2.8
202104,AK,1.94
202105,AK,2.15
202106,AK,2.69
202107,AK,3.49
202108,AK,5.3
202109,AK,4.27
202110,AK,4.79
202111,AK,2.34
202112,AK,3.84
202201,AK,3.57
202202,AK,4.33
202203,AK,2.49
202204,AK,0.99
202205,AK,1.26
202206,AK,1.17
202207,AK,4.39
202208,AK,6.33
202209,AK,6.24
202210,AK,5.84
202211,AK,3.35
202212,AK,3.03
202301,AK,3.02
202302,AK,2.43
202303,AK,2.37
202304,AK,1.97
202305,AK,2.87
202306,AK,2.98
202307,AK,3.48
202308,AK,4.76
202309,AK,5.29
202310,AK,3.93
202311,AK,4.71
202312,AK,4.53
200101,AZ,1.7
200102,AZ,1
200103,AZ,1.04
200104,AZ,0.97
200105,AZ,0.37
200106,AZ,0.24
200107,AZ,1.5
200108,AZ,2.04
200109,AZ,0.39
200110,AZ,0.43
200111,AZ,0.29
200112,AZ,0.82
200201,AZ,0.19
200202,AZ,0.1
200203,AZ,0.22
200204,AZ,0.18
200205,AZ,0.01
200206,AZ,0.01
200207,AZ,1.31
200208,AZ,0.87
200209,AZ,1.88
200210,AZ,0.7
200211,AZ,0.64
200212,AZ,0.86
200301,AZ,0.32
200302,AZ,2.44
200303,AZ,1.07
200304,AZ,0.29
200305,AZ,0.1
200306,AZ,0.05
200307,AZ,1.25
200308,AZ,1.8
200309,AZ,1.09
200310,AZ,0.41
200311,AZ,1.15
200312,AZ,0.54
200401,AZ,0.71
200402,AZ,1.07
200403,AZ,0.75
200404,AZ,1.32
200405,AZ,0.01
200406,AZ,0.09
200407,AZ,1.14
200408,AZ,1.48
200409,AZ,1.58
200410,AZ,1.95
200411,AZ,1.76
200412,AZ,1.66
200501,AZ,2.83
200502,AZ,3.35
200503,AZ,0.86
200504,AZ,0.7
200505,AZ,0.22
200506,AZ,0.21
200507,AZ,1.05
200508,AZ,2.43
200509,AZ,0.42
200510,AZ,0.92
200511,AZ,0.06
200512,AZ,0.04
200601,AZ,0.13
200602,AZ,0.04
200603,AZ,1.41
200604,AZ,0.24
200605,AZ,0.05
200606,AZ,0.34
200607,AZ,2.49
200608,AZ,2.02
200609,AZ,1.42
200610,AZ,1.18
200611,AZ,0.07
200612,AZ,0.37
200701,AZ,0.79
200702,AZ,0.56
200703,AZ,0.83
200704,AZ,0.24
200705,AZ,0.3
200706,AZ,0.12
200707,AZ,2.27
200708,AZ,1.87
200709,AZ,0.98
200710,AZ,0.15
200711,AZ,0.6
200712,AZ,2.28
200801,AZ,1.99
200802,AZ,1.19
200803,AZ,0.07
200804,AZ,0.02
200805,AZ,0.65
200806,AZ,0.15
200807,AZ,2.25
200808,AZ,2.31
200809,AZ,0.62
200810,AZ,0.28
200811,AZ,0.89
200812,AZ,1.89
200901,AZ,0.52
200902,AZ,1.02
200903,AZ,0.17
200904,AZ,0.29
200905,AZ,0.74
200906,AZ,0.34
200907,AZ,1.09
200908,AZ,0.66
200909,AZ,0.69
200910,AZ,0.15
200911,AZ,0.15
200912,AZ,1.21
201001,AZ,3.41
201002,AZ,1.44
201003,AZ,1.03
201004,AZ,0.27
201005,AZ,0.06
201006,AZ,0.08
201007,AZ,1.97
201008,AZ,1.84
201009,AZ,0.6
201010,AZ,1.35
201011,AZ,0.19
201012,AZ,1.67
201101,AZ,0.05
201102,AZ,1.05
201103,AZ,0.33
201104,AZ,0.41
201105,AZ,0.28
201106,AZ,0.02
201107,AZ,1.76
201108,AZ,1.28
201109,AZ,1.31
201110,AZ,0.67
201111,AZ,0.92
201112,AZ,1.55
201201,AZ,0.26
201202,AZ,0.43
201203,AZ,0.69
201204,AZ,0.32
201205,AZ,0.05
201206,AZ,0.08
201207,AZ,2.52
201208,AZ,2.22
201209,AZ,1.07
201210,AZ,0.25
201211,AZ,0.21
201212,AZ,1.46
201301,AZ,1.3
201302,AZ,0.51
201303,AZ,0.57
201304,AZ,0.2
201305,AZ,0.06
201306,AZ,0.03
201307,AZ,2.68
201308,AZ,2.39
201309,AZ,1.88
201310,AZ,0.21
201311,AZ,1.86
201312,AZ,0.44
201401,AZ,0.03
201402,AZ,0.16
201403,AZ,0.9
201404,AZ,0.24
201405,AZ,0.07
201406,AZ,0.01
201407,AZ,1.86
201408,AZ,3.13
201409,AZ,2.49
201410,AZ,0.6
201411,AZ,0.11
201412,AZ,1.47
201501,AZ,1.79
201502,AZ,0.64
201503,AZ,1.12
201504,AZ,0.42
201505,AZ,1
201506,AZ,0.8
201507,AZ,1.91
201508,AZ,2.1
201509,AZ,1.37
201510,AZ,1.88
201511,AZ,0.76
201512,AZ,0.6
201601,AZ,1.4
201602,AZ,0.29
201603,AZ,0.11
201604,AZ,0.8
201605,AZ,0.52
201606,AZ,0.43
201607,AZ,1.39
201608,AZ,2.57
201609,AZ,1.35
201610,AZ,0.35
201611,AZ,0.94
201612,AZ,2.13
201701,AZ,2.07
201702,AZ,1.26
201703,AZ,0.41
201704,AZ,0.19
201705,AZ,0.41
201706,AZ,0.06
201707,AZ,2.89
201708,AZ,1.39
201709,AZ,0.61
201710,AZ,0.03
201711,AZ,0.02
201712,AZ,0.13
201801,AZ,0.56
201802,AZ,1.07
201803,AZ,0.44
201804,AZ,0.04
201805,AZ,0.15
201806,AZ,0.33
201807,AZ,2.59
201808,AZ,2
201809,AZ,0.81
201810,AZ,2.7
201811,AZ,0.27
201812,AZ,0.71
201901,AZ,1.5
201902,AZ,2.74
201903,AZ,1.22
201904,AZ,0.3
201905,AZ,0.91
201906,AZ,0.06
201907,AZ,0.79
201908,AZ,0.88
201909,AZ,1.68
201910,AZ,0.02
201911,AZ,2.96
201912,AZ,1.63
202001,AZ,0.45
202002,AZ,1.1
202003,AZ,2.38
202004,AZ,0.36
202005,AZ,0.11
202006,AZ,0.04
202007,AZ,0.71
202008,AZ,0.6
202009,AZ,0.11
202010,AZ,0.14
202011,AZ,0.27
202012,AZ,0.29
202101,AZ,1.31
202102,AZ,0.23
202103,AZ,0.73
202104,AZ,0.19
202105,AZ,0.04
202106,AZ,0.22
202107,AZ,3.82
202108,AZ,2.18
202109,AZ,1.29
202110,AZ,0.74
202111,AZ,0.05
202112,AZ,1.77
202201,AZ,0.3
202202,AZ,0.4
202203,AZ,0.58
202204,AZ,0.02
202205,AZ,0
202206,AZ,0.7
202207,AZ,2.27
202208,AZ,3.24
202209,AZ,1.45
202210,AZ,1.22
202211,AZ,0.42
202212,AZ,1.47
202301,AZ,2.21
202302,AZ,1.05
202303,AZ,2.09
202304,AZ,0.02
202305,AZ,0.46
202306,AZ,0.09
202307,AZ,0.52
202308,AZ,1.83
202309,AZ,1.18
202310,AZ,0.19
202311,AZ,0.47
202312,AZ,0.92
200101,AR,3.48
200102,AR,8.07
200103,AR,3.78
200104,AR,2.34
200105,AR,5.64
200106,AR,3.15
200107,AR,2.58
200108,AR,2.84
200109,AR,3.65
200110,AR,5.82
200111,AR,5.78
200112,AR,8.28
200201,AR,4.01
200202,AR,2.73
200203,AR,9.5
200204,AR,3.33
200205,AR,6.16
200206,AR,2.57
200207,AR,4.13
200208,AR,3.36
200209,AR,2.98
200210,AR,4.35
200211,AR,2.17
200212,AR,7.54
200301,AR,0.67
200302,AR,6.05
200303,AR,2.01
200304,AR,2.6
200305,AR,6.87
200306,AR,5.75
200307,AR,3.56
200308,AR,2.93
200309,AR,3.6
200310,AR,2.43
200311,AR,5.26
200312,AR,3.11
200401,AR,3.26
200402,AR,4.1
200403,AR,4.48
200404,AR,6.28
200405,AR,5
200406,AR,5.81
200407,AR,4.71
200408,AR,2.76
200409,AR,0.4
200410,AR,8.17
200411,AR,8.99
200412,AR,3.06
200501,AR,5.32
200502,AR,2.84
200503,AR,3.5
200504,AR,4.12
200505,AR,1.93
200506,AR,1.98
200507,AR,4.05
200508,AR,3.04
200509,AR,4.77
200510,AR,0.26
200511,AR,3.2
200512,AR,0.74
200601,AR,4.61
200602,AR,2.51
200603,AR,5.02
200604,AR,4.56
200605,AR,3.93
200606,AR,2.56
200607,AR,2.79
200608,AR,3.74
200609,AR,4.33
200610,AR,4.52
200611,AR,4.88
200612,AR,5.88
200701,AR,6.92
200702,AR,2.44
200703,AR,1.64
200704,AR,4.22
200705,AR,3.69
200706,AR,3.65
200707,AR,5.75
200708,AR,0.89
200709,AR,4.56
200710,AR,5.15
200711,AR,2.06
200712,AR,5.73
200801,AR,1.73
200802,AR,4.67
200803,AR,9.06
200804,AR,8.13
200805,AR,4.55
200806,AR,4.06
200807,AR,2.9
200808,AR,7.27
200809,AR,7.63
200810,AR,3.71
200811,AR,2.31
200812,AR,4.46
200901,AR,2.74
200902,AR,2.71
200903,AR,5.35
200904,AR,5.21
200905,AR,11.03
200906,AR,2.61
200907,AR,7.55
200908,AR,3.55
200909,AR,8.64
200910,AR,14.13
200911,AR,1.7
200912,AR,6.98
201001,AR,3.92
201002,AR,3.32
201003,AR,2.99
201004,AR,3.06
201005,AR,6.2
201006,AR,2.61
201007,AR,4.46
201008,AR,1.73
201009,AR,3.3
201010,AR,1.31
201011,AR,4.35
201012,AR,1.54
201101,AR,1.6
201102,AR,4.12
201103,AR,2.8
201104,AR,10.6
201105,AR,8.31
201106,AR,1.67
201107,AR,2.03
201108,AR,4.26
201109,AR,2.49
201110,AR,2.54
201111,AR,8.45
201112,AR,6.97
201201,AR,2.92
201202,AR,3.03
201203,AR,6.71
201204,AR,2.56
201205,AR,1.47
201206,AR,1.98
201207,AR,2.82
201208,AR,4.37
201209,AR,5.01
201210,AR,3.29
201211,AR,1.74
201212,AR,3.91
201301,AR,6.04
201302,AR,4.07
201303,AR,3.51
201304,AR,5.23
201305,AR,6.29
201306,AR,3.32
201307,AR,4.04
201308,AR,3.83
201309,AR,3.47
201310,AR,4.84
201311,AR,3.85
201312,AR,5.75
201401,AR,1.98
201402,AR,2.67
201403,AR,4.66
201404,AR,5.54
201405,AR,6.05
201406,AR,6.24
201407,AR,4.34
201408,AR,2.89
201409,AR,2.42
201410,AR,5.43
201411,AR,2.68
201412,AR,3.01
201501,AR,3.49
201502,AR,3.18
201503,AR,8.02
201504,AR,5.75
201505,AR,10.56
201506,AR,3.99
201507,AR,4.92
201508,AR,3.02
201509,AR,1.47
201510,AR,3.75
201511,AR,10.72
201512,AR,8.44
201601,AR,2.02
201602,AR,2.43
201603,AR,9.89
201604,AR,5.8
201605,AR,4.54
201606,AR,3.1
201607,AR,4.82
201608,AR,7.42
201609,AR,1.8
201610,AR,1.58
201611,AR,3.28
201612,AR,3.76
201701,AR,3.02
201702,AR,2.76
201703,AR,4.56
201704,AR,8.74
201705,AR,6.59
201706,AR,4.24
201707,AR,4.72
201708,AR,6.3
201709,AR,1.21
201710,AR,1.82
201711,AR,1.11
201712,AR,5.19
201801,AR,2.7
201802,AR,11.81
201803,AR,5.45
201804,AR,5.06
201805,AR,3.28
201806,AR,2.94
201807,AR,3.24
201808,AR,6.43
201809,AR,5.32
201810,AR,5.22
201811,AR,5.11
201812,AR,7.76
201901,AR,4.51
201902,AR,7.76
201903,AR,3.98
201904,AR,8.25
201905,AR,9.18
201906,AR,6.12
201907,AR,4.83
201908,AR,4.51
201909,AR,1.98
201910,AR,7.56
201911,AR,4.66
201912,AR,2.31
202001,AR,6.15
202002,AR,5.79
202003,AR,7.39
202004,AR,6.11
202005,AR,6.94
202006,AR,4.67
202007,AR,3.64
202008,AR,6.74
202009,AR,5.65
202010,AR,4.42
202011,AR,1.94
202012,AR,4.38
202101,AR,4.12
202102,AR,3.4
202103,AR,6.15
202104,AR,5.54
202105,AR,6.73
202106,AR,4.87
202107,AR,4.72
202108,AR,3.02
202109,AR,1.87
202110,AR,4.21
202111,AR,2.12
202112,AR,3.48
202201,AR,3.39
202202,AR,4.41
202203,AR,5.76
202204,AR,6.48
202205,AR,6.47
202206,AR,3.38
202207,AR,3.19
202208,AR,4.42
202209,AR,1.26
202210,AR,3.24
202211,AR,4.51
202212,AR,5.18
202301,AR,5.89
202302,AR,4.81
202303,AR,8.13
202304,AR,5.37
202305,AR,3.84
202306,AR,4.09
202307,AR,5.03
202308,AR,3.13
202309,AR,2.56
202310,AR,4.58
202311,AR,2.15
202312,AR,2.75
200101,CA,3.52
200102,CA,4.42
200103,CA,2.21
200104,CA,1.75
200105,CA,0.15
200106,CA,0.23
200107,CA,0.28
200108,CA,0.05
200109,CA,0.3
200110,CA,0.65
200111,CA,4.21
200112,CA,5.25
200201,CA,2.22
200202,CA,1.45
200203,CA,1.91
200204,CA,0.88
200205,CA,0.59
200206,CA,0.07
200207,CA,0.06
200208,CA,0.01
200209,CA,0.11
200210,CA,0.06
200211,CA,3.18
200212,CA,8.14
200301,CA,1.92
200302,CA,2.66
200303,CA,2.77
200304,CA,3.98
200305,CA,1.09
200306,CA,0.04
200307,CA,0.22
200308,CA,0.57
200309,CA,0.17
200310,CA,0.09
200311,CA,2.35
200312,CA,5.77
200401,CA,2.27
200402,CA,5.88
200403,CA,1.08
200404,CA,0.7
200405,CA,0.45
200406,CA,0.08
200407,CA,0.06
200408,CA,0.19
200409,CA,0.14
200410,CA,3.72
200411,CA,1.68
200412,CA,5.51
200501,CA,5.56
200502,CA,4.03
200503,CA,3.69
200504,CA,1.79
200505,CA,2.54
200506,CA,0.67
200507,CA,0.14
200508,CA,0.29
200509,CA,0.32
200510,CA,1
200511,CA,2.26
200512,CA,7.81
200601,CA,4.54
200602,CA,2.69
200603,CA,5.41
200604,CA,4.16
200605,CA,0.73
200606,CA,0.15
200607,CA,0.15
200608,CA,0.06
200609,CA,0.06
200610,CA,0.45
200611,CA,2.08
200612,CA,3.13
200701,CA,0.81
200702,CA,4.24
200703,CA,0.74
200704,CA,1.27
200705,CA,0.32
200706,CA,0.12
200707,CA,0.18
200708,CA,0.12
200709,CA,0.5
200710,CA,1.5
200711,CA,0.82
200712,CA,3.21
200801,CA,7.11
200802,CA,2.76
200803,CA,0.61
200804,CA,0.34
200805,CA,0.54
200806,CA,0.03
200807,CA,0.14
200808,CA,0.12
200809,CA,0.04
200810,CA,0.7
200811,CA,2.41
200812,CA,3.05
200901,CA,1.27
200902,CA,4.64
200903,CA,2.26
200904,CA,0.57
200905,CA,1.24
200906,CA,0.6
200907,CA,0.05
200908,CA,0.12
200909,CA,0.09
200910,CA,2.07
200911,CA,0.99
200912,CA,3.15
201001,CA,6.48
201002,CA,3.65
201003,CA,2.19
201004,CA,3.47
201005,CA,1.07
201006,CA,0.26
201007,CA,0.07
201008,CA,0.1
201009,CA,0.16
201010,CA,3
201011,CA,2.6
201012,CA,8.13
201101,CA,1.28
201102,CA,3.34
201103,CA,6.41
201104,CA,1.1
201105,CA,1.44
201106,CA,0.92
201107,CA,0.22
201108,CA,0.1
201109,CA,0.28
201110,CA,1.54
201111,CA,1.69
201112,CA,0.47
201201,CA,3.12
201202,CA,1.22
201203,CA,4.74
201204,CA,2.48
201205,CA,0.2
201206,CA,0.32
201207,CA,0.26
201208,CA,0.3
201209,CA,0.1
201210,CA,0.99
201211,CA,3.57
201212,CA,6.15
201301,CA,1.19
201302,CA,0.58
201303,CA,1.33
201304,CA,0.71
201305,CA,0.62
201306,CA,0.38
201307,CA,0.28
201308,CA,0.38
201309,CA,0.77
201310,CA,0.26
201311,CA,0.99
201312,CA,0.44
201401,CA,0.54
201402,CA,4.02
201403,CA,3.28
201404,CA,1.06
201405,CA,0.35
201406,CA,0.06
201407,CA,0.22
201408,CA,0.45
201409,CA,0.72
201410,CA,1.06
201411,CA,1.84
201412,CA,6.3
201501,CA,0.65
201502,CA,2.86
201503,CA,0.78
201504,CA,1.06
201505,CA,0.93
201506,CA,0.23
201507,CA,0.66
201508,CA,0.08
201509,CA,0.33
201510,CA,0.9
201511,CA,1.87
201512,CA,4.69
201601,CA,6.39
201602,CA,1.21
201603,CA,4.88
201604,CA,1.52
201605,CA,0.77
201606,CA,0.27
201607,CA,0.06
201608,CA,0.06
201609,CA,0.1
201610,CA,3.82
201611,CA,2.16
201612,CA,4.49
201701,CA,9.92
201702,CA,7.94
201703,CA,2.45
201704,CA,2.76
201705,CA,0.43
201706,CA,0.26
201707,CA,0.09
201708,CA,0.27
201709,CA,0.43
201710,CA,0.34
201711,CA,2.98
201712,CA,0.3
201801,CA,3.33
201802,CA,0.57
201803,CA,5.12
201804,CA,2.13
201805,CA,0.66
201806,CA,0.07
201807,CA,0.22
201808,CA,0.04
201809,CA,0.06
201810,CA,0.7
201811,CA,2.81
201812,CA,2.38
201901,CA,5.23
201902,CA,8.57
201903,CA,4.05
201904,CA,1.22
201905,CA,2.5
201906,CA,0.09
201907,CA,0.08
201908,CA,0.13
201909,CA,0.61
201910,CA,0.16
201911,CA,1.61
201912,CA,4.87
202001,CA,2.06
202002,CA,0.21
202003,CA,3.19
202004,CA,1.99
202005,CA,1.2
202006,CA,0.16
202007,CA,0.05
202008,CA,0.1
202009,CA,0.04
202010,CA,0.05
202011,CA,1.19
202012,CA,1.83
202101,CA,3.65
202102,CA,1.39
202103,CA,1.73
202104,CA,0.29
202105,CA,0.11
202106,CA,0.14
202107,CA,0.29
202108,CA,0.1
202109,CA,0.36
202110,CA,3.66
202111,CA,0.95
202112,CA,6.26
202201,CA,0.45
202202,CA,0.24
202203,CA,1.05
202204,CA,1.72
202205,CA,0.3
202206,CA,0.43
202207,CA,0.13
202208,CA,0.4
202209,CA,0.83
202210,CA,0.16
202211,CA,2
202212,CA,6.39
202301,CA,8.25
202302,CA,3.38
202303,CA,7.42
202304,CA,0.51
202305,CA,0.99
