Date,state,average temperature (F)
201508,AL,79
201509,AL,74.4
201510,AL,65
201511,AL,59.2
201512,AL,56.9
201601,AL,43
201602,AL,49.8
201603,AL,59.7
201604,AL,63.6
201605,AL,70.2
201606,AL,79.2
201607,AL,82
201608,AL,81.6
201609,AL,78.6
201610,AL,68.5
201611,AL,57.8
201612,AL,50.1
201701,AL,52.4
201702,AL,55.6
201703,AL,58.4
201704,AL,67.2
201705,AL,69.9
201706,AL,75.8
201707,AL,80.6
201708,AL,78.8
201709,AL,73.4
201710,AL,65.8
201711,AL,55.6
201712,AL,46.9
201801,AL,40.4
201802,AL,58
201803,AL,55.4
201804,AL,59.5
201805,AL,74.4
201806,AL,79.3
201807,AL,80.7
201808,AL,79.5
201809,AL,79.4
201810,AL,67.4
201811,AL,50.4
201812,AL,49
201901,AL,46.5
201902,AL,56.1
201903,AL,55
201904,AL,63.5
201905,AL,74.2
201906,AL,78.1
201907,AL,80.6
201908,AL,80.6
201909,AL,80.2
201910,AL,67.8
201911,AL,50.6
201912,AL,51.3
202001,AL,49.5
202002,AL,51
202003,AL,63.5
202004,AL,62
202005,AL,68.9
202006,AL,76.9
202007,AL,80.9
202008,AL,80.2
202009,AL,74.3
202010,AL,66.9
202011,AL,58.4
202012,AL,45.9
202101,AL,46.6
202102,AL,46.7
202103,AL,59.6
202104,AL,61.6
202105,AL,69.4
202106,AL,77
202107,AL,79.3
202108,AL,80
202109,AL,73.9
202110,AL,67.3
202111,AL,52.2
202112,AL,56.8
202201,AL,43.9
202202,AL,50.1
202203,AL,57.4
202204,AL,62.6
202205,AL,73.5
202206,AL,80.4
202207,AL,81.7
202208,AL,79.3
202209,AL,73.7
202210,AL,61.2
202211,AL,55.3
202212,AL,49.1
202301,AL,51.4
202302,AL,56.5
202303,AL,58.7
202304,AL,63.3
202305,AL,70.3
202306,AL,76.6
202307,AL,81
202308,AL,82.1
202309,AL,75.7
202310,AL,65.2
202311,AL,54.5
202312,AL,48.8
200101,AK,15.7
200102,AK,14.7
200103,AK,12
200104,AK,25.1
200105,AK,32.7
200106,AK,50.8
200107,AK,52.1
200108,AK,50.4
200109,AK,42.4
200110,AK,21.8
200111,AK,9.7
200112,AK,0.6
200201,AK,9.5
200202,AK,8.7
200203,AK,15.4
200204,AK,21.5
200205,AK,41.1
200206,AK,50
200207,AK,53.4
200208,AK,49.2
200209,AK,42.7
200210,AK,31.8
200211,AK,24.1
200212,AK,13.6
200301,AK,10.2
200302,AK,16.5
200303,AK,11
200304,AK,27.8
200305,AK,38.4
200306,AK,51.2
200307,AK,53.5
200308,AK,50.6
200309,AK,39
200310,AK,31.7
200311,AK,14.8
200312,AK,4.6
200401,AK,-0.4
200402,AK,10.1
200403,AK,10
200404,AK,28.7
200405,AK,43.2
200406,AK,55.1
200407,AK,57.3
200408,AK,55.3
200409,AK,37.4
200410,AK,29.5
200411,AK,16.9
200412,AK,8.8
200501,AK,6.7
200502,AK,8
200503,AK,18.5
200504,AK,24.5
200505,AK,43.7
200506,AK,52.5
200507,AK,54.4
200508,AK,52.6
200509,AK,42.9
200510,AK,27.4
200511,AK,5.1
200512,AK,13.9
200601,AK,-4.7
200602,AK,12.4
200603,AK,7.7
200604,AK,20.8
200605,AK,40
200606,AK,49.1
200607,AK,53
200608,AK,48.3
200609,AK,44.3
200610,AK,31.6
200611,AK,6.2
200612,AK,8.1
200701,AK,5.5
200702,AK,6.1
200703,AK,-0.2
200704,AK,29.9
200705,AK,39.4
200706,AK,51
200707,AK,55.5
200708,AK,53.2
200709,AK,43.5
200710,AK,25.3
200711,AK,19.8
200712,AK,8
200801,AK,0.4
200802,AK,1.7
200803,AK,12.6
200804,AK,23
200805,AK,39.1
200806,AK,48.8
200807,AK,51.2
200808,AK,48.4
200809,AK,41.2
200810,AK,18.9
200811,AK,9.6
200812,AK,6
200901,AK,-0.2
200902,AK,5.1
200903,AK,7.1
200904,AK,24.1
200905,AK,40.4
200906,AK,49.8
200907,AK,56.1
200908,AK,49
200909,AK,41.6
200910,AK,30.5
200911,AK,7.4
200912,AK,10.2
201001,AK,1.5
201002,AK,10.8
201003,AK,9.8
201004,AK,26.9
201005,AK,41.3
201006,AK,49.5
201007,AK,52.1
201008,AK,51.5
201009,AK,42.8
201010,AK,27.6
201011,AK,17.7
201012,AK,-2.4
201101,AK,7
201102,AK,6
201103,AK,11.9
201104,AK,23.2
201105,AK,40.5
201106,AK,49.8
201107,AK,52.1
201108,AK,49
201109,AK,42.4
201110,AK,28.5
201111,AK,3.6
201112,AK,9.4
201201,AK,-12.8
201202,AK,12.1
201203,AK,4.3
201204,AK,27.3
201205,AK,37.2
201206,AK,50.4
201207,AK,52
201208,AK,49.9
201209,AK,40.6
201210,AK,25.5
201211,AK,6
201212,AK,-0.8
201301,AK,9.8
201302,AK,6.3
201303,AK,11
201304,AK,16.7
201305,AK,35.2
201306,AK,53.9
201307,AK,55
201308,AK,51.4
201309,AK,39.6
201310,AK,34
201311,AK,13.7
201312,AK,7
201401,AK,18.4
201402,AK,6.7
201403,AK,14.1
201404,AK,27.4
201405,AK,41.9
201406,AK,48.1
201407,AK,52.7
201408,AK,52
201409,AK,42.3
201410,AK,25.8
201411,AK,19.6
201412,AK,15
201501,AK,7.1
201502,AK,12.6
201503,AK,15.9
201504,AK,28.2
201505,AK,44.8
201506,AK,52.3
201507,AK,54.2
201508,AK,49.3
201509,AK,38.9
201510,AK,31.6
201511,AK,17.2
201512,AK,8.3
201601,AK,17.2
201602,AK,17.3
201603,AK,18.7
201604,AK,33.3
201605,AK,44
201606,AK,51.8
201607,AK,55.6
201608,AK,53.2
201609,AK,42.3
201610,AK,29.7
201611,AK,13.3
201612,AK,6.2
201701,AK,4.5
201702,AK,6.6
201703,AK,4.9
201704,AK,29.6
201705,AK,40.8
201706,AK,51.4
201707,AK,56.2
201708,AK,50.2
201709,AK,42.6
201710,AK,30.2
201711,AK,15.8
201712,AK,19.1
201801,AK,6.7
201802,AK,12.6
201803,AK,18
201804,AK,26.8
201805,AK,39.4
201806,AK,50
201807,AK,55.6
201808,AK,49.6
201809,AK,44.3
201810,AK,33.8
201811,AK,19.1
201812,AK,9.1
201901,AK,7.5
201902,AK,15.5
201903,AK,26.5
201904,AK,28.5
201905,AK,43
201906,AK,54
201907,AK,58.1
201908,AK,51.5
201909,AK,44.4
201910,AK,30.8
201911,AK,19.8
201912,AK,6.7
202001,AK,-6.4
202002,AK,1.5
202003,AK,12
202004,AK,27.5
202005,AK,43.3
202006,AK,50.5
202007,AK,53.2
202008,AK,52.1
202009,AK,42
202010,AK,28.9
202011,AK,14.5
202012,AK,10.6
202101,AK,10.6
202102,AK,1
202103,AK,9.1
202104,AK,23.9
202105,AK,40.3
202106,AK,50.9
202107,AK,53.9
202108,AK,49.4
202109,AK,39.4
202110,AK,27.9
202111,AK,4.6
202112,AK,6.8
202201,AK,2.6
202202,AK,8.2
202203,AK,16.7
202204,AK,24.9
202205,AK,40.1
202206,AK,52.7
202207,AK,53.3
202208,AK,50.1
202209,AK,42.7
202210,AK,28.8
202211,AK,16.3
202212,AK,7.1
202301,AK,10.9
202302,AK,6
202303,AK,13.6
202304,AK,16.8
202305,AK,39.8
202306,AK,49.9
202307,AK,56.1
202308,AK,53.2
202309,AK,40.8
202310,AK,28
202311,AK,20.4
202312,AK,5.8
200101,AZ,40.3
200102,AZ,44.2
200103,AZ,51.8
200104,AZ,57.5
200105,AZ,70.8
200106,AZ,77.5
200107,AZ,79.8
200108,AZ,79.1
200109,AZ,75.6
200110,AZ,64.7
200111,AZ,52.9
200112,AZ,40.2
200201,AZ,42.3
200202,AZ,46.2
200203,AZ,49.8
200204,AZ,62
200205,AZ,67
200206,AZ,78.8
200207,AZ,82.3
200208,AZ,79.8
200209,AZ,73.6
200210,AZ,60
200211,AZ,51.3
200212,AZ,41
200301,AZ,48.8
200302,AZ,45.5
200303,AZ,50.6
200304,AZ,55.6
200305,AZ,68.3
200306,AZ,76.3
200307,AZ,83.8
200308,AZ,80
200309,AZ,74.8
200310,AZ,67.3
200311,AZ,48.8
200312,AZ,43
200401,AZ,42.8
200402,AZ,42.1
200403,AZ,58.1
200404,AZ,57.9
200405,AZ,68.4
200406,AZ,75.9
200407,AZ,80.1
200408,AZ,77.7
200409,AZ,71.8
200410,AZ,60
200411,AZ,47.3
200412,AZ,42.8
200501,AZ,45.1
200502,AZ,46.2
200503,AZ,49.9
200504,AZ,57.2
200505,AZ,67.9
200506,AZ,74.4
200507,AZ,82.7
200508,AZ,77.5
200509,AZ,73.4
200510,AZ,62.8
200511,AZ,52.6
200512,AZ,43.9
200601,AZ,44.1
200602,AZ,47.8
200603,AZ,48.3
200604,AZ,59
200605,AZ,70
200606,AZ,79.5
200607,AZ,82.3
200608,AZ,77.9
200609,AZ,69.8
200610,AZ,60.2
200611,AZ,52.8
200612,AZ,41.8
200701,AZ,39
200702,AZ,46.7
200703,AZ,54.5
200704,AZ,59.3
200705,AZ,68.4
200706,AZ,77.3
200707,AZ,82
200708,AZ,80.5
200709,AZ,73.7
200710,AZ,62.4
200711,AZ,55.3
200712,AZ,39.9
200801,AZ,39.8
200802,AZ,45
200803,AZ,51.8
200804,AZ,58
200805,AZ,63.6
200806,AZ,77.3
200807,AZ,80.4
200808,AZ,79.3
200809,AZ,73.6
200810,AZ,62.9
200811,AZ,53.3
200812,AZ,42.4
200901,AZ,45.2
200902,AZ,46.6
200903,AZ,52.5
200904,AZ,57
200905,AZ,70.8
200906,AZ,73
200907,AZ,82.8
200908,AZ,79.7
200909,AZ,74.1
200910,AZ,59.4
200911,AZ,52.9
200912,AZ,39
201001,AZ,42.2
201002,AZ,44.3
201003,AZ,49.2
201004,AZ,56.1
201005,AZ,63.1
201006,AZ,75.9
201007,AZ,81.8
201008,AZ,79
201009,AZ,75.4
201010,AZ,62.7
201011,AZ,48.3
201012,AZ,46.7
201101,AZ,41.5
201102,AZ,41.7
201103,AZ,53.3
201104,AZ,58.9
201105,AZ,63.2
201106,AZ,75.7
201107,AZ,80.8
201108,AZ,82.2
201109,AZ,74.6
201110,AZ,62.8
201111,AZ,49.4
201112,AZ,39.9
201201,AZ,45.3
201202,AZ,45.6
201203,AZ,51.6
201204,AZ,60.6
201205,AZ,69.3
201206,AZ,78.7
201207,AZ,79.9
201208,AZ,80.5
201209,AZ,73.7
201210,AZ,63.8
201211,AZ,53.8
201212,AZ,42.4
201301,AZ,38.6
201302,AZ,42.2
201303,AZ,54.8
201304,AZ,59.4
201305,AZ,67.4
201306,AZ,79.5
201307,AZ,81
201308,AZ,78.5
201309,AZ,72.4
201310,AZ,58.8
201311,AZ,51.3
201312,AZ,41.5
201401,AZ,46.5
201402,AZ,50
201403,AZ,53.9
201404,AZ,59.1
201405,AZ,66.8
201406,AZ,77.7
201407,AZ,81.4
201408,AZ,76.5
201409,AZ,74.2
201410,AZ,64.9
201411,AZ,51.7
201412,AZ,44.3
201501,AZ,45.1
201502,AZ,52
201503,AZ,56.3
201504,AZ,58.4
201505,AZ,62.9
201506,AZ,78.4
201507,AZ,78.6
201508,AZ,80.6
201509,AZ,75
201510,AZ,64.5
201511,AZ,48.3
201512,AZ,40.9
201601,AZ,41.8
201602,AZ,50.6
201603,AZ,54.9
201604,AZ,58.5
201605,AZ,64.6
201606,AZ,80.3
201607,AZ,82.4
201608,AZ,77.5
201609,AZ,71.6
201610,AZ,66.1
201611,AZ,53.1
201612,AZ,44.7
201701,AZ,42.3
201702,AZ,49.4
201703,AZ,56.6
201704,AZ,59.9
201705,AZ,66.1
201706,AZ,79.8
201707,AZ,81.5
201708,AZ,79.1
201709,AZ,72.4
201710,AZ,65.1
201711,AZ,57.6
201712,AZ,46.6
201801,AZ,47.6
201802,AZ,46.7
201803,AZ,52.3
201804,AZ,62.9
201805,AZ,68.5
201806,AZ,78.6
201807,AZ,82.3
201808,AZ,80.2
201809,AZ,76
201810,AZ,59.9
201811,AZ,49.4
201812,AZ,42.8
201901,AZ,42.4
201902,AZ,40.9
201903,AZ,51.7
201904,AZ,60.3
201905,AZ,60.7
201906,AZ,75.2
201907,AZ,81.9
201908,AZ,81.9
201909,AZ,73.8
201910,AZ,60
201911,AZ,52.1
201912,AZ,42.2
202001,AZ,43.7
202002,AZ,45.9
202003,AZ,51
202004,AZ,59.3
202005,AZ,70.5
202006,AZ,76.8
202007,AZ,82.8
202008,AZ,84.1
202009,AZ,75.6
202010,AZ,66.2
202011,AZ,53.5
202012,AZ,42
202101,AZ,42.6
202102,AZ,46.5
202103,AZ,49.4
202104,AZ,61.2
202105,AZ,67.9
202106,AZ,80.6
202107,AZ,81.4
202108,AZ,79.5
202109,AZ,74.8
202110,AZ,59.9
202111,AZ,55.8
202112,AZ,45.6
202201,AZ,43.5
202202,AZ,44
202203,AZ,51.8
202204,AZ,60.5
202205,AZ,68.6
202206,AZ,78.6
202207,AZ,82.2
202208,AZ,79
202209,AZ,75.9
202210,AZ,61.8
202211,AZ,46.1
202212,AZ,42.8
202301,AZ,40.3
202302,AZ,41.9
202303,AZ,47.2
202304,AZ,58.4
202305,AZ,66.5
202306,AZ,72.4
202307,AZ,85.4
202308,AZ,80.7
202309,AZ,73.6
202310,AZ,64.4
202311,AZ,52.6
202312,AZ,45.4
200101,AR,37
200102,AR,45.5
200103,AR,47.9
200104,AR,65.4
200105,AR,70
200106,AR,75.5
200107,AR,82
200108,AR,80.8
200109,AR,70.9
200110,AR,59.5
200111,AR,55
200112,AR,45.2
200201,AR,42.5
200202,AR,42.3
200203,AR,47.9
200204,AR,63.6
200205,AR,67
200206,AR,76.6
200207,AR,80.6
200208,AR,79.9
200209,AR,75.2
200210,AR,60.5
200211,AR,48.2
200212,AR,42.7
200301,AR,36.8
200302,AR,40.1
200303,AR,51.2
200304,AR,61.7
200305,AR,69.6
200306,AR,73.1
200307,AR,80
200308,AR,80.8
200309,AR,70.2
200310,AR,62.8
200311,AR,54.6
200312,AR,42.3
200401,AR,41
200402,AR,40.6
200403,AR,55.9
200404,AR,60.8
200405,AR,70.7
200406,AR,75.8
200407,AR,77.8
200408,AR,75.3
200409,AR,73
200410,AR,65.8
200411,AR,54.1
200412,AR,41.5
200501,AR,44.7
200502,AR,47.5
200503,AR,50.4
200504,AR,60.9
200505,AR,67.4
200506,AR,77.5
200507,AR,80.2
200508,AR,82.2
200509,AR,77
200510,AR,61.7
200511,AR,54
200512,AR,40
200601,AR,47.5
200602,AR,40.8
200603,AR,53.4
200604,AR,66.5
200605,AR,69.9
200606,AR,76.3
200607,AR,81.2
200608,AR,82.1
200609,AR,69.7
200610,AR,60.1
200611,AR,51.5
200612,AR,44.9
200701,AR,39.9
200702,AR,40.9
200703,AR,59.5
200704,AR,57.4
200705,AR,71
200706,AR,77.1
200707,AR,77.6
200708,AR,83.7
200709,AR,74.1
200710,AR,64
200711,AR,52.5
200712,AR,44
200801,AR,39
200802,AR,43.6
200803,AR,51.9
200804,AR,58.8
200805,AR,68.1
200806,AR,77.7
200807,AR,80.5
200808,AR,77.7
200809,AR,71.1
200810,AR,60
200811,AR,48.9
200812,AR,41
200901,AR,38.4
200902,AR,47.3
200903,AR,52.7
200904,AR,59.6
200905,AR,67.5
200906,AR,78.8
200907,AR,77.8
200908,AR,76.6
200909,AR,71.3
200910,AR,57
200911,AR,54
200912,AR,38.1
201001,AR,36.5
201002,AR,36.5
201003,AR,50.5
201004,AR,63.4
201005,AR,71.3
201006,AR,81.6
201007,AR,82
201008,AR,83.9
201009,AR,74.8
201010,AR,62.7
201011,AR,52
201012,AR,38.9
201101,AR,37.6
201102,AR,43.9
201103,AR,52.5
201104,AR,63.5
201105,AR,67.3
201106,AR,81.7
201107,AR,84.7
201108,AR,83.1
201109,AR,70.2
201110,AR,60.6
201111,AR,53.4
201112,AR,43.3
201201,AR,44.6
201202,AR,47.2
201203,AR,62.2
201204,AR,64.4
201205,AR,73.2
201206,AR,78
201207,AR,84.1
201208,AR,80.2
201209,AR,73.5
201210,AR,59.3
201211,AR,50.2
201212,AR,46.4
201301,AR,42.1
201302,AR,43.3
201303,AR,46.6
201304,AR,58.5
201305,AR,67.2
201306,AR,77.1
201307,AR,78
201308,AR,78.4
201309,AR,75.4
201310,AR,61.5
201311,AR,47.5
201312,AR,40.1
201401,AR,35.2
201402,AR,38.8
201403,AR,46.5
201404,AR,59.6
201405,AR,68.1
201406,AR,76.7
201407,AR,75.4
201408,AR,78.7
201409,AR,72.6
201410,AR,63.7
201411,AR,44.9
201412,AR,43.8
201501,AR,38.6
201502,AR,36.1
201503,AR,49.7
201504,AR,62.5
201505,AR,69.3
201506,AR,78.1
201507,AR,81.9
201508,AR,78.1
201509,AR,74.8
201510,AR,63.5
201511,AR,54.2
201512,AR,50
201601,AR,39.5
201602,AR,46.9
201603,AR,55.5
201604,AR,62.5
201605,AR,67.2
201606,AR,78.9
201607,AR,82
201608,AR,80
201609,AR,75.8
201610,AR,67
201611,AR,55.7
201612,AR,42.5
201701,AR,45.2
201702,AR,52.5
201703,AR,55.7
201704,AR,64.2
201705,AR,67.7
201706,AR,75.5
201707,AR,80.6
201708,AR,76.9
201709,AR,73.2
201710,AR,62.9
201711,AR,53.7
201712,AR,42.4
201801,AR,35.7
201802,AR,45.9
201803,AR,53.9
201804,AR,55.2
201805,AR,75
201806,AR,80.1
201807,AR,81.8
201808,AR,78.8
201809,AR,75
201810,AR,62.6
201811,AR,45.8
201812,AR,44.2
201901,AR,40.8
201902,AR,46
201903,AR,48.9
201904,AR,60.8
201905,AR,70.6
201906,AR,75.6
201907,AR,79
201908,AR,80.3
201909,AR,79.7
201910,AR,60.8
201911,AR,46.4
201912,AR,45.7
202001,AR,43.9
202002,AR,44.5
202003,AR,56.5
202004,AR,58.8
202005,AR,66.8
202006,AR,76.4
202007,AR,81.3
202008,AR,77.8
202009,AR,71.8
202010,AR,59.4
202011,AR,54
202012,AR,42.6
202101,AR,41.4
202102,AR,34.8
202103,AR,55.2
202104,AR,58.4
202105,AR,66.8
202106,AR,76.9
202107,AR,79.4
202108,AR,80.7
202109,AR,74.3
202110,AR,65.5
202111,AR,49.4
202112,AR,53.4
202201,AR,38.7
202202,AR,42.2
202203,AR,52.1
202204,AR,59.9
202205,AR,71
202206,AR,78.2
202207,AR,84.1
202208,AR,79.4
202209,AR,73.8
202210,AR,61.4
202211,AR,49.8
202212,AR,43.2
202301,AR,46.5
202302,AR,48.8
202303,AR,53
202304,AR,60.3
202305,AR,70
202306,AR,77.3
202307,AR,81
202308,AR,81.7
202309,AR,74.8
202310,AR,64
202311,AR,51.7
202312,AR,46
200101,CA,42.3
200102,CA,43.1
200103,CA,52.6
200104,CA,52
200105,CA,68.6
200106,CA,71.4
200107,CA,74.2
200108,CA,76
200109,CA,71.3
200110,CA,63.6
200111,CA,51.6
200112,CA,42.8
200201,CA,42.4
200202,CA,48.2
200203,CA,48.5
200204,CA,56
200205,CA,61.5
200206,CA,71.2
200207,CA,77.4
200208,CA,74.4
200209,CA,70.9
200210,CA,59.4
200211,CA,52.3
200212,CA,44
200301,CA,50
200302,CA,45.7
200303,CA,51.4
200304,CA,50
200305,CA,62
200306,CA,71.2
200307,CA,78.7
200308,CA,75
200309,CA,72.9
200310,CA,65.4
200311,CA,46.8
200312,CA,44
200401,CA,43.5
200402,CA,44.2
200403,CA,56.9
200404,CA,57.3
200405,CA,63.2
200406,CA,70.4
200407,CA,76.1
200408,CA,74.8
200409,CA,69.4
200410,CA,58.2
200411,CA,47.7
200412,CA,44.6
200501,CA,44.1
200502,CA,47.1
200503,CA,51.1
200504,CA,53
200505,CA,62.2
200506,CA,66.2
200507,CA,78.4
200508,CA,75.8
200509,CA,66.9
200510,CA,59.9
200511,CA,52.4
200512,CA,46.1
200601,CA,44.6
200602,CA,47.7
200603,CA,44
200604,CA,53
200605,CA,64.6
200606,CA,73.2
200607,CA,79.3
200608,CA,73.8
200609,CA,69.5
200610,CA,58.8
200611,CA,51.3
200612,CA,43.9
200701,CA,41.5
200702,CA,46.7
200703,CA,54.4
200704,CA,56.3
200705,CA,64.1
200706,CA,70.5
200707,CA,76.9
200708,CA,76.1
200709,CA,67.5
200710,CA,58.6
200711,CA,53.3
200712,CA,41.2
200801,CA,41.1
200802,CA,45.8
200803,CA,50.3
200804,CA,54.4
200805,CA,61.7
200806,CA,71.1
200807,CA,76.5
200808,CA,76.6
200809,CA,71.8
200810,CA,61.8
200811,CA,53.9
200812,CA,42
200901,CA,46.9
200902,CA,45.2
200903,CA,49.2
200904,CA,54.3
200905,CA,66.7
200906,CA,67.5
200907,CA,77.6
200908,CA,74.8
200909,CA,73
200910,CA,58.1
200911,CA,50.9
200912,CA,41.8
201001,CA,45.2
201002,CA,46.8
201003,CA,49
201004,CA,50.9
201005,CA,56.9
201006,CA,69.1
201007,CA,76.1
201008,CA,73.4
201009,CA,70.4
201010,CA,60.5
201011,CA,48.6
201012,CA,45.8
201101,CA,45.2
201102,CA,43.4
201103,CA,48.7
201104,CA,53.4
201105,CA,57.6
201106,CA,66.9
201107,CA,74.2
201108,CA,75.2
201109,CA,72.2
201110,CA,61.4
201111,CA,48.2
201112,CA,42.8
201201,CA,46.5
201202,CA,46.5
201203,CA,48.8
201204,CA,55.8
201205,CA,63.9
201206,CA,69.3
201207,CA,74.7
201208,CA,77.8
201209,CA,73.1
201210,CA,62.2
201211,CA,52.5
201212,CA,43
201301,CA,42.1
201302,CA,45.3
201303,CA,53.8
201304,CA,58.2
201305,CA,63.8
201306,CA,72.4
201307,CA,78
201308,CA,74.4
201309,CA,69.3
201310,CA,58.5
201311,CA,51.9
201312,CA,44.1
201401,CA,50.1
201402,CA,49.8
201403,CA,53.5
201404,CA,57.7
201405,CA,64.6
201406,CA,71.9
201407,CA,78.4
201408,CA,74.9
201409,CA,72.2
201410,CA,64.4
201411,CA,53.1
201412,CA,46.8
201501,CA,48.6
201502,CA,53.2
201503,CA,56.9
201504,CA,56.7
201505,CA,60.8
201506,CA,74.4
201507,CA,75
201508,CA,76.5
201509,CA,72.1
201510,CA,65
201511,CA,47.6
201512,CA,42.3
201601,CA,44.5
201602,CA,51.8
201603,CA,52.5
201604,CA,57.9
201605,CA,62.2
201606,CA,73.5
201607,CA,76.8
201608,CA,76.2
201609,CA,69.5
201610,CA,60.5
201611,CA,52.8
201612,CA,43.4
201701,CA,42.2
201702,CA,47.3
201703,CA,53.4
201704,CA,55.6
201705,CA,63.4
201706,CA,72.8
201707,CA,78.8
201708,CA,77.9
201709,CA,69.8
201710,CA,62
201711,CA,53.4
201712,CA,47.5
201801,CA,48.9
201802,CA,46.6
201803,CA,49
201804,CA,57.2
201805,CA,63
201806,CA,71.4
201807,CA,79.6
201808,CA,76.4
201809,CA,71.1
201810,CA,60.9
201811,CA,52.6
201812,CA,44.8
201901,CA,46.1
201902,CA,40.6
201903,CA,48.9
201904,CA,58.2
201905,CA,58.6
201906,CA,71.1
201907,CA,75.5
201908,CA,76.8
201909,CA,68.9
201910,CA,58.8
201911,CA,53
201912,CA,44.4
202001,CA,45.3
202002,CA,49.2
202003,CA,48
202004,CA,56.6
202005,CA,64.6
202006,CA,70.4
202007,CA,76.6
202008,CA,78.9
202009,CA,74
202010,CA,66.2
202011,CA,50.9
202012,CA,45.5
202101,CA,45.5
202102,CA,47.4
202103,CA,48.2
202104,CA,58.2
202105,CA,64.5
202106,CA,74.9
202107,CA,79.8
202108,CA,77
202109,CA,72.2
202110,CA,58.2
202111,CA,54.8
202112,CA,43.5
202201,CA,46.2
202202,CA,47.4
202203,CA,52.9
202204,CA,55.9
202205,CA,62.4
202206,CA,72
202207,CA,77.6
202208,CA,78.4
202209,CA,73.8
202210,CA,63.7
202211,CA,46.8
202212,CA,43.5
202301,CA,42.6
202302,CA,42.7
202303,CA,44.2
202304,CA,55.3
202305,CA,62
202306,CA,67
202307,CA,79
202308,CA,75.9
202309,CA,68.1
202310,CA,62.2
202311,CA,51.9
202312,CA,48.1
200101,CO,24.7
200102,CO,28.2
200103,CO,36
200104,CO,45.9
200105,CO,53.9
200106,CO,63.9
200107,CO,70.2
200108,CO,66.9
200109,CO,60.3
200110,CO,47.9
200111,CO,37.9
200112,CO,26.4
200201,CO,25.4
200202,CO,27.1
200203,CO,32
200204,CO,47.3
200205,CO,53.4
200206,CO,67.1
200207,CO,71
200208,CO,66.8
200209,CO,58.4
200210,CO,43.2
200211,CO,33.7
